motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows
tiaosheng,motion_recovery,CF2,rff_lms,accuracy,split,1,1,0,0,True,,8.856411868578768,30.82191780821918,10.985498715753424,27.397260273972602,146,4.171201171875,64.0,5.391959635416667,57.333333333333336,150,44.273576546978475,22.516556291390728,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_CF2,lms,accuracy,split,1,1,0,0,True,,8.022942529965754,34.93150684931507,10.985498715753424,27.397260273972602,146,7.697796223958333,50.0,5.391959635416667,57.333333333333336,150,35.13740105028973,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_CF2,volterra,accuracy,split,1,1,0,0,True,,8.787965539383562,27.397260273972602,10.985498715753424,27.397260273972602,146,44.7583984375,22.666666666666664,5.391959635416667,57.333333333333336,150,32.87686905008278,17.218543046357617,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,9.475448817422945,31.506849315068493,10.985498715753424,27.397260273972602,146,4.255367838541667,64.0,5.391959635416667,57.333333333333336,150,30.909060042425498,22.516556291390728,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,CF2_HF2,lms,accuracy,split,1,1,0,0,True,,8.305289490582192,32.87671232876712,10.985498715753424,27.397260273972602,146,24.775113932291667,44.666666666666664,5.391959635416667,57.333333333333336,150,33.24935326986755,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,CF2_HF2,volterra,accuracy,split,1,1,0,0,True,,47.937192315924655,17.123287671232877,10.985498715753424,27.397260273972602,146,46.88306640625,17.333333333333336,5.391959635416667,57.333333333333336,150,34.877690397350996,19.205298013245034,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.470432229238014,31.506849315068493,10.985498715753424,27.397260273972602,146,4.248043619791667,64.0,5.391959635416667,57.333333333333336,150,29.667338188120862,22.516556291390728,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,ACC3_HF2,lms,accuracy,split,1,1,0,0,True,,57.69377073523116,15.753424657534246,10.985498715753424,27.397260273972602,146,9.733870442708334,50.0,5.391959635416667,57.333333333333336,150,37.12322149213576,15.2317880794702,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,ACC3_HF2,volterra,accuracy,split,1,1,0,0,True,,61.10353234696062,5.47945205479452,10.985498715753424,27.397260273972602,146,53.35219401041667,12.666666666666668,5.391959635416667,57.333333333333336,150,21.742281275869207,18.543046357615893,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.009417808219178,30.136986301369863,10.985498715753424,27.397260273972602,146,4.3768522135416665,62.0,5.391959635416667,57.333333333333336,150,44.18869321709437,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_ACC3,lms,accuracy,split,1,1,0,0,True,,8.128524989297945,32.19178082191781,10.985498715753424,27.397260273972602,146,8.551009114583334,52.0,5.391959635416667,57.333333333333336,150,37.80891711506622,13.90728476821192,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_ACC3,volterra,accuracy,split,1,1,0,0,True,,58.598853542380134,10.273972602739725,10.985498715753424,27.397260273972602,146,53.55056966145833,14.000000000000002,5.391959635416667,57.333333333333336,150,23.084650507036425,23.178807947019866,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,9.006909514126713,30.136986301369863,10.985498715753424,27.397260273972602,146,4.347998046875,62.66666666666667,5.391959635416667,57.333333333333336,150,44.08683322123344,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_post10,ACC3,lms,accuracy,split,1,1,0,0,True,,70.14044024493244,4.054054054054054,13.769966744087839,17.56756756756757,74,3.569865901295732,75.60975609756098,5.216606326219512,64.63414634146342,82,58.35579833984375,8.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,ACC3,volterra,accuracy,split,1,1,0,0,True,,8.66775100295608,28.37837837837838,13.769966744087839,17.56756756756757,74,70.94157298018293,8.536585365853659,5.216606326219512,64.63414634146342,82,21.39439697265625,18.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.11035816089527,18.91891891891892,13.769966744087839,17.56756756756757,74,3.3857421875,75.60975609756098,5.216606326219512,64.63414634146342,82,55.43104248046875,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2,lms,accuracy,split,1,1,0,0,True,,10.164794921875,24.324324324324326,13.769966744087839,17.56756756756757,74,10.948069502667684,50.0,5.216606326219512,64.63414634146342,82,54.6675048828125,13.750000000000002,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2,volterra,accuracy,split,1,1,0,0,True,,9.90426388302365,27.027027027027028,13.769966744087839,17.56756756756757,74,9.928532298018293,52.4390243902439,5.216606326219512,64.63414634146342,82,41.506597900390624,15.0,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.4088819550304876,75.60975609756098,5.216606326219512,64.63414634146342,82,48.42039184570312,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2,lms,accuracy,split,1,1,0,0,True,,9.509363122888514,20.27027027027027,13.769966744087839,17.56756756756757,74,32.9310272961128,50.0,5.216606326219512,64.63414634146342,82,55.90364379882813,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2,volterra,accuracy,split,1,1,0,0,True,,9.721593908361486,13.513513513513514,13.769966744087839,17.56756756756757,74,67.9872391863567,13.414634146341465,5.216606326219512,64.63414634146342,82,54.07193603515625,15.0,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2,rff_lms,accuracy,split,1,1,0,0,True,,9.966843063766891,20.27027027027027,13.769966744087839,17.56756756756757,74,3.3820860327743905,76.82926829268293,5.216606326219512,64.63414634146342,82,56.1314208984375,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_CF2,lms,accuracy,split,1,1,0,0,True,,8.319415118243244,29.72972972972973,13.769966744087839,17.56756756756757,74,9.692609089176829,46.34146341463415,5.216606326219512,64.63414634146342,82,56.3533203125,13.750000000000002,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_CF2,volterra,accuracy,split,1,1,0,0,True,,8.899823163006756,24.324324324324326,13.769966744087839,17.56756756756757,74,68.54772056021342,13.414634146341465,5.216606326219512,64.63414634146342,82,53.720916748046875,5.0,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.4044159679878048,75.60975609756098,5.216606326219512,64.63414634146342,82,48.21897583007812,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2_HF2,lms,accuracy,split,1,1,0,0,True,,8.89132442989865,25.675675675675674,13.769966744087839,17.56756756756757,74,33.5828232183689,51.21951219512195,5.216606326219512,64.63414634146342,82,52.89491577148438,13.750000000000002,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2_HF2,volterra,accuracy,split,1,1,0,0,True,,73.52323294974663,9.45945945945946,13.769966744087839,17.56756756756757,74,72.22440691692073,8.536585365853659,5.216606326219512,64.63414634146342,82,57.44482421875,8.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.417813929115854,75.60975609756098,5.216606326219512,64.63414634146342,82,50.53983764648437,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,ACC3_HF2,lms,accuracy,split,1,1,0,0,True,,72.09768924197635,4.054054054054054,13.769966744087839,17.56756756756757,74,13.187095083841463,52.4390243902439,5.216606326219512,64.63414634146342,82,57.656640625,8.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,ACC3_HF2,volterra,accuracy,split,1,1,0,0,True,,70.84593406883445,2.7027027027027026,13.769966744087839,17.56756756756757,74,70.0740341558689,8.536585365853659,5.216606326219512,64.63414634146342,82,20.6028076171875,17.5,55.95289306640625,17.5,80
tiaosheng,motion_post10,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,10.095511771537161,18.91891891891892,13.769966744087839,17.56756756756757,74,3.3463581364329267,76.82926829268293,5.216606326219512,64.63414634146342,82,55.64619140625,16.25,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_ACC3,lms,accuracy,split,1,1,0,0,True,,8.611855996621621,25.675675675675674,13.769966744087839,17.56756756756757,74,11.24215772675305,51.21951219512195,5.216606326219512,64.63414634146342,82,57.56844482421875,8.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_ACC3,volterra,accuracy,split,1,1,0,0,True,,65.44155801309121,6.756756756756757,13.769966744087839,17.56756756756757,74,70.2180830792683,8.536585365853659,5.216606326219512,64.63414634146342,82,23.06099853515625,23.75,55.95289306640625,17.5,80
tiaosheng,motion_post10,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.095511771537161,18.91891891891892,13.769966744087839,17.56756756756757,74,3.403606135670732,75.60975609756098,5.216606326219512,64.63414634146342,82,55.44019775390625,16.25,55.95289306640625,17.5,80
