split,group_id,target_scope,cascade_scheme,adaptive_filter,success,reason,baseline_aae_bpm,adaptive_aae_bpm,baseline_acc_pct,adaptive_acc_pct
train,tiaosheng3,motion_recovery,HF2,lms,True,,10.985498715753424,8.899327108304794,27.397260273972602,32.19178082191781
val,tiaosheng2,motion_recovery,HF2,lms,True,,5.391959635416667,8.392659505208334,57.333333333333336,50.66666666666667
test,tiaosheng1,motion_recovery,HF2,lms,True,,44.25849156663907,33.086202659354306,23.841059602649008,21.192052980132452
train,tiaosheng3,motion_recovery,HF2,volterra,True,,10.985498715753424,8.786089335402398,27.397260273972602,32.87671232876712
val,tiaosheng2,motion_recovery,HF2,volterra,True,,5.391959635416667,7.970810546875,57.333333333333336,49.333333333333336
test,tiaosheng1,motion_recovery,HF2,volterra,True,,44.25849156663907,26.369085652938743,23.841059602649008,21.85430463576159
train,tiaosheng3,motion_recovery,HF2,rff_lms,True,,10.985498715753424,9.432807817851028,27.397260273972602,31.506849315068493
val,tiaosheng2,motion_recovery,HF2,rff_lms,True,,5.391959635416667,4.262692057291667,57.333333333333336,64.0
test,tiaosheng1,motion_recovery,HF2,rff_lms,True,,44.25849156663907,29.57275390625,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,CF2,lms,True,,10.985498715753424,8.684737532106164,27.397260273972602,30.82191780821918
val,tiaosheng2,motion_recovery,CF2,lms,True,,5.391959635416667,32.89155598958333,57.333333333333336,37.333333333333336
test,tiaosheng1,motion_recovery,CF2,lms,True,,44.25849156663907,40.463142849751655,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,CF2,volterra,True,,10.985498715753424,8.799831442636986,27.397260273972602,27.397260273972602
val,tiaosheng2,motion_recovery,CF2,volterra,True,,5.391959635416667,51.58564778645833,57.333333333333336,14.666666666666666
test,tiaosheng1,motion_recovery,CF2,volterra,True,,44.25849156663907,34.594134804428805,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,CF2,rff_lms,True,,10.985498715753424,8.856411868578768,27.397260273972602,30.82191780821918
val,tiaosheng2,motion_recovery,CF2,rff_lms,True,,5.391959635416667,4.171201171875,57.333333333333336,64.0
test,tiaosheng1,motion_recovery,CF2,rff_lms,True,,44.25849156663907,44.273576546978475,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,HF2_CF2,lms,True,,10.985498715753424,8.022942529965754,27.397260273972602,34.93150684931507
val,tiaosheng2,motion_recovery,HF2_CF2,lms,True,,5.391959635416667,7.697796223958333,57.333333333333336,50.0
test,tiaosheng1,motion_recovery,HF2_CF2,lms,True,,44.25849156663907,35.13740105028973,23.841059602649008,21.192052980132452
train,tiaosheng3,motion_recovery,HF2_CF2,volterra,True,,10.985498715753424,8.787965539383562,27.397260273972602,27.397260273972602
val,tiaosheng2,motion_recovery,HF2_CF2,volterra,True,,5.391959635416667,44.7583984375,57.333333333333336,22.666666666666664
test,tiaosheng1,motion_recovery,HF2_CF2,volterra,True,,44.25849156663907,32.87686905008278,23.841059602649008,17.218543046357617
