motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows,Fs_Target,TW,Kstop,max_order,M_base,C_scale,K_max,Spec_Penalty_Width,Spec_Penalty_Weight,smooth_win_len,hr_range_hz,slew_limit_bpm,slew_step_bpm,LMS_Mu_Base,LMS_Mu_Min,alpha_u,M2,rff_D,rff_sigma,rff_seed
tiaosheng,motion_recovery,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.470432229238014,31.506849315068493,10.985498715753424,27.397260273972602,146,4.248043619791667,64.0,5.391959635416667,57.333333333333336,150,29.667338188120862,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2459855607
tiaosheng,motion_recovery,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.009417808219178,30.136986301369863,10.985498715753424,27.397260273972602,146,4.3768522135416665,62.0,5.391959635416667,57.333333333333336,150,44.18869321709437,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,3279593937
tiaosheng,motion_recovery,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,9.006909514126713,30.136986301369863,10.985498715753424,27.397260273972602,146,4.347998046875,62.66666666666667,5.391959635416667,57.333333333333336,150,44.08683322123344,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,1545926378
tiaosheng,motion_post10,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.11035816089527,18.91891891891892,13.769966744087839,17.56756756756757,74,3.3857421875,75.60975609756098,5.216606326219512,64.63414634146342,82,55.43104248046875,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2179611366
tiaosheng,motion_post10,HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.4088819550304876,75.60975609756098,5.216606326219512,64.63414634146342,82,48.42039184570312,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2889748104
tiaosheng,motion_post10,CF2,rff_lms,accuracy,split,1,1,0,0,True,,9.966843063766891,20.27027027027027,13.769966744087839,17.56756756756757,74,3.3820860327743905,76.82926829268293,5.216606326219512,64.63414634146342,82,56.1314208984375,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,3531759715
tiaosheng,motion_post10,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.4044159679878048,75.60975609756098,5.216606326219512,64.63414634146342,82,48.21897583007812,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2867888346
tiaosheng,motion_post10,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.08279666385135,22.972972972972975,13.769966744087839,17.56756756756757,74,3.417813929115854,75.60975609756098,5.216606326219512,64.63414634146342,82,50.53983764648437,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,131488650
tiaosheng,motion_post10,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,10.095511771537161,18.91891891891892,13.769966744087839,17.56756756756757,74,3.3463581364329267,76.82926829268293,5.216606326219512,64.63414634146342,82,55.64619140625,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,107005683
tiaosheng,motion_post10,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.095511771537161,18.91891891891892,13.769966744087839,17.56756756756757,74,3.403606135670732,75.60975609756098,5.216606326219512,64.63414634146342,82,55.44019775390625,16.25,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,3435383086
