motion_type,target_scope,cascade_scheme,adaptive_filter,repeat_idx,trial_idx,objective_value,aae_bpm,accuracy_pct,best_so_far,success,reason,rff_seed,params
tiaosheng,motion_only,HF2_ACC3,rff_lms,0,0,20.833333333333343,3.0803087022569446,79.16666666666666,20.833333333333343,True,,2743427172,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 2743427172}"
tiaosheng,motion_recovery,ACC3,lms,0,0,34.0,4.339567057291666,66.0,34.0,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,ACC3,volterra,0,0,83.33333333333334,49.0966796875,16.666666666666664,83.33333333333334,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,ACC3,rff_lms,0,0,37.33333333333333,4.343115234375,62.66666666666667,37.33333333333333,True,,3637250389,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 3637250389}"
tiaosheng,motion_recovery,HF2,lms,0,0,49.33333333333333,8.392659505208334,50.66666666666667,49.33333333333333,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,HF2,volterra,0,0,50.666666666666664,7.970810546875,49.333333333333336,50.666666666666664,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,HF2,rff_lms,0,0,36.0,4.262692057291667,64.0,36.0,True,,1737357511,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 1737357511}"
tiaosheng,motion_recovery,CF2,lms,0,0,62.666666666666664,32.89155598958333,37.333333333333336,62.666666666666664,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,CF2,volterra,0,0,85.33333333333333,51.58564778645833,14.666666666666666,85.33333333333333,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,CF2,rff_lms,0,0,36.0,4.171201171875,64.0,36.0,True,,3548491312,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 3548491312}"
tiaosheng,motion_recovery,HF2_CF2,lms,0,0,50.0,7.697796223958333,50.0,50.0,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_recovery,HF2_CF2,volterra,0,0,77.33333333333334,44.7583984375,22.666666666666664,77.33333333333334,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
